Galaxy	RA_deg  	DEC_deg	SBF	 NED-D	Virgo_kms	VHel_Mpc	D_mag	M_K_mag	A_B	ttype 	log_Re	Rmax	Epsilon_e	Epsilon_e2	Band	VSigma_e	VSigma_e2	LambdaR_e	LambdaR_e2	FS_e	FS_e2	Source	Class	Filter	Rb_asec	mu	alpha	beta	gamma	gamma_prime	RMS	Rgamma_asec	Rgamma_pc	Kinematic_Group	LABEL
NGC3610	169.605316	58.786247	1	4	0	1707	20.8	-23.69	0.04	-4.2	1.2	1.1	0.381	0.4	G	0.642	0.639	0.53	0.539	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	2.84	16.39	48.5	1.86	0.76	0.76		0.02	2.02	regular-rotators	core
NGC3613	169.650543	57.999924	1	3	0	2051	28.3	-24.26	0.05	-4.7	1.42	0.59	0.46	0.423	G	0.202	0.176	0.222	0.191	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	core (flat)	F702W	0.33	15.8	1.65	1.1	0.01	0.14	0.01	0.29	40.05	regular-rotators	core-less
NGC3619	169.840088	57.757683	0	0	0	1560	26.8	-23.57	0.08	-0.9	1.42	0.62	0.173	0.176	G	0.285	0.274	0.293	0.283	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3626	170.015808	18.356791	1	1	0	1486	19.5	-23.3	0.08	-1	1.41	0.57	0.591	0.583	G	0.728	0.681	0.66	0.62	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3630	170.070786	2.96417	0	0	0	1499	25	-23.16	0.18	-1.5	1.1	1.04	0.665	0.371	G	0.639	0.404	0.648	0.421	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3640	170.278549	3.234764	1	4	0	1298	26.3	-24.6	0.19	-4.9	1.49	0.76	0.191	0.224	G	0.37	0.315	0.377	0.32	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F555W	4.05	18	1.12	2.17	0.46	0.48	0.01	0.14	18.45	regular-rotators	core
NGC3641	170.286621	3.194489	1	1	0	1780	25.9	-21.85	0.18	-4.9	0.97	1.84	0.125	0.215	G	0.331	0.353	0.243	0.328	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3648	170.631195	39.876972	0	0	0	1970	31.9	-23.06	0.09	-2	1.12	1.24	0.421	0.326	G	0.711	0.479	0.684	0.496	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3658	170.992706	38.562424	0	0	0	2039	32.7	-23.45	0.09	-2.2	1.28	0.91	0.243	0.148	G	0.462	0.336	0.546	0.398	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3665	171.181793	38.762791	0	0	0	2069	33.1	-24.92	0.08	-2.1	1.49	0.77	0.216	0.176	G	0.463	0.439	0.41	0.388	F	F	no imaging	not measured	no imaging						unknown					unknown
